timestamp,capture_ms,engagement_detection_ms,state_machine_ms,command_build_ms,total_loop_ms,state,engagement_status,engagement_confidence,engagement_reason
2026-06-17T22:31:07.683,406.511,944.006,0.023,0.065,1350.645,disengaged,disengaged,0.569,face_left_or_right
2026-06-17T22:31:07.975,8.482,90.769,0.017,0.039,100.174,disengaged,disengaged,0.669,face_left_or_right+face_too_small
2026-06-17T22:31:08.080,7.228,78.598,0.023,0.041,87.367,disengaged,absent,0.0,no_face_detected
2026-06-17T22:31:08.166,6.533,62.23,0.019,0.038,69.774,disengaged,disengaged,0.569,face_left_or_right
2026-06-17T22:31:08.247,7.936,59.949,0.024,0.045,68.929,disengaged,absent,0.0,no_face_detected
2026-06-17T22:31:08.328,3.456,62.887,0.031,0.055,67.109,disengaged,absent,0.0,no_face_detected
2026-06-17T22:31:08.401,4.372,55.341,0.034,0.064,60.744,disengaged,absent,0.0,no_face_detected
2026-06-17T22:31:08.477,6.16,57.462,0.034,0.084,64.417,disengaged,disengaged,0.569,face_left_or_right
2026-06-17T22:31:08.580,8.68,73.862,0.046,0.087,83.912,disengaged,absent,0.0,no_face_detected
2026-06-17T22:31:08.656,3.739,56.261,0.039,0.076,60.81,disengaged,absent,0.0,no_face_detected
2026-06-17T22:31:08.735,5.223,57.446,0.052,0.1,63.497,disengaged,absent,0.0,no_face_detected
2026-06-17T22:31:08.825,5.089,63.296,0.034,0.073,69.17,disengaged,absent,0.0,no_face_detected
2026-06-17T22:31:08.909,5.149,63.137,0.027,0.053,69.078,disengaged,disengaged,0.568,face_left_or_right
2026-06-17T22:31:08.995,5.055,68.995,0.024,0.046,74.797,disengaged,disengaged,0.568,face_left_or_right
2026-06-17T22:31:09.073,4.401,60.432,0.019,0.038,65.685,disengaged,disengaged,0.568,face_left_or_right
2026-06-17T22:31:09.165,4.582,74.633,0.037,0.058,80.056,disengaged,absent,0.0,no_face_detected
2026-06-17T22:31:09.246,3.837,60.554,0.055,0.108,65.736,disengaged,absent,0.0,no_face_detected
2026-06-17T22:31:09.318,4.291,60.661,0.024,0.047,65.489,disengaged,absent,0.0,no_face_detected
2026-06-17T22:31:09.393,5.532,55.102,0.028,0.062,61.374,disengaged,absent,0.0,no_face_detected
2026-06-17T22:31:09.469,3.862,62.8,0.02,0.041,67.287,disengaged,disengaged,0.671,face_left_or_right+face_too_small
2026-06-17T22:31:09.551,4.431,67.259,0.016,0.035,72.291,disengaged,disengaged,0.57,face_left_or_right
2026-06-17T22:31:09.638,5.822,69.26,0.019,0.037,75.758,disengaged,disengaged,0.57,face_left_or_right
2026-06-17T22:31:10.012,276.935,77.99,0.035,0.085,355.822,disengaged,disengaged,0.571,face_left_or_right
2026-06-17T22:31:10.104,3.583,76.232,0.044,0.082,80.546,disengaged,absent,0.0,no_face_detected
2026-06-17T22:31:10.197,3.992,77.67,0.025,0.052,82.607,disengaged,absent,0.0,no_face_detected
2026-06-17T22:31:10.286,5.922,72.882,0.021,0.036,79.414,disengaged,disengaged,0.571,face_left_or_right
2026-06-17T22:31:10.370,6.041,72.052,0.02,0.042,78.714,disengaged,disengaged,0.569,face_left_or_right
2026-06-17T22:31:10.473,4.583,82.088,0.041,0.075,87.306,disengaged,disengaged,0.569,face_left_or_right
2026-06-17T22:31:10.565,3.519,74.734,0.019,0.04,78.905,disengaged,disengaged,0.57,face_left_or_right
2026-06-17T22:31:10.652,3.588,73.699,0.036,0.063,77.912,disengaged,disengaged,0.57,face_left_or_right
2026-06-17T22:31:10.740,4.307,75.712,0.047,0.088,80.888,disengaged,absent,0.0,no_face_detected
2026-06-17T22:31:10.835,3.396,78.97,0.015,0.028,83.014,disengaged,disengaged,0.571,face_left_or_right
2026-06-17T22:31:10.934,5.039,80.231,0.054,0.093,86.021,disengaged,disengaged,0.572,face_left_or_right
2026-06-17T22:31:11.019,3.829,69.898,0.017,0.041,74.585,disengaged,disengaged,0.571,face_left_or_right
2026-06-17T22:31:11.103,4.167,74.372,0.016,0.033,79.195,disengaged,disengaged,0.571,face_left_or_right
2026-06-17T22:31:11.206,3.287,81.308,0.083,0.075,85.242,disengaged,disengaged,0.572,face_left_or_right
2026-06-17T22:31:11.287,3.175,66.212,0.029,0.061,70.055,disengaged,disengaged,0.572,face_left_or_right
2026-06-17T22:31:11.370,6.145,69.977,0.016,0.043,76.615,disengaged,disengaged,0.572,face_left_or_right
2026-06-17T22:31:11.444,3.677,59.51,0.022,0.043,63.878,disengaged,disengaged,0.572,face_left_or_right
2026-06-17T22:31:11.515,4.522,54.949,0.027,0.055,60.194,disengaged,disengaged,0.571,face_left_or_right
2026-06-17T22:31:11.590,3.305,61.291,0.024,0.045,65.147,disengaged,disengaged,0.573,face_left_or_right
2026-06-17T22:31:11.675,7.096,66.208,0.018,0.039,74.151,disengaged,disengaged,0.572,face_left_or_right
2026-06-17T22:31:11.752,3.516,61.622,0.017,0.036,65.702,disengaged,disengaged,0.672,face_left_or_right+face_too_small
2026-06-17T22:31:11.824,3.852,60.173,0.018,0.037,64.901,disengaged,disengaged,0.571,face_left_or_right
2026-06-17T22:31:11.908,3.468,69.722,0.019,0.036,73.868,disengaged,disengaged,0.571,face_left_or_right
2026-06-17T22:31:11.991,3.599,59.239,0.023,0.04,63.518,disengaged,disengaged,0.571,face_left_or_right
2026-06-17T22:31:12.068,5.848,60.348,0.02,0.038,66.93,disengaged,disengaged,0.572,face_left_or_right
2026-06-17T22:31:12.146,3.595,67.166,0.017,0.033,71.434,disengaged,disengaged,0.573,face_left_or_right
2026-06-17T22:31:12.219,3.344,56.275,0.018,0.035,60.251,disengaged,disengaged,0.572,face_left_or_right
2026-06-17T22:31:12.288,3.39,51.967,0.02,0.037,55.995,disengaged,disengaged,0.573,face_left_or_right
2026-06-17T22:31:12.365,5.363,55.123,0.018,0.037,61.12,disengaged,disengaged,0.573,face_left_or_right
2026-06-17T22:31:12.441,3.317,61.878,0.028,0.051,65.759,disengaged,disengaged,0.573,face_left_or_right
2026-06-17T22:31:12.503,4.714,50.014,0.023,0.046,55.287,disengaged,disengaged,0.572,face_left_or_right
2026-06-17T22:31:12.573,5.368,53.2,0.018,0.036,59.12,disengaged,disengaged,0.572,face_left_or_right
2026-06-17T22:31:12.653,4.881,65.708,0.026,0.058,71.276,disengaged,disengaged,0.573,face_left_or_right
